cik,sic,company,loc
0000917248,6189,"PAINEWEBBER MORTGAGE ACCEPTANCE CORP V",NY
0000917313,6189,"CHARMING SHOPPES MASTER TRUST",DE
0000917819,6189,"CONTISECURITIES ASSET FUNDING CORP",NV
0000918113,6189,"DVI RECEIVABLES CORP",PA
0000918643,6189,"MORSERV INC",NJ
0000919815,6189,"CWMBS INC MORT PASS THRO CERT SER 1994-8",CA
0000920031,6189,"CREDIT SUISSE FIRST BOSTON STRUCTURED PRODUCTS CORP",NY
0000920193,6189,"CWMBS INC MORTGAGE PASS THRO CERT SERIES 1993-1",CA
0000920199,6189,"CWMBS INC MORTGAGE PASS THRO CERT SERIES 1993-12",CA
0000920247,6189,"CWMBS INC 1994-5 MORTGAGE PASS THRO CERT SERIES 1994-5",CA
0000920343,6189,"WORLD OMNI LEASE SECURITIZATION L P /DE/",FL
0000920466,6189,"MORGAN J P STRUCTURED FINANCE CORP",NY
0000920628,6189,"CC MASTER CREDIT CARD TRUST",TX
0000920852,6189,"USA GROUP SECONDARY MARKET SERVICES INC",IN
0000921143,6189,"CS FBC MORTGAGE SECURITIES TRUST 22 OF CS FIRST BOSTON MOR S",NY
0000921529,6189,"EQUICON MORTGAGE LOAN TRUST 1994-1",MD
0000921686,6189,"MLCC MORTGAGE INVESTORS INC",FL
0000921751,6189,"FINGERHUT RECEIVABLES INC",GA
0000921752,6189,"FINGERHUT MASTER TRUST",MN
0000921864,6189,"CITIBANK CREDIT CARD MASTER TRUST I",SD
0000922546,6189,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 1994-4",CA
0000922869,6189,"CAPITAL ONE MASTER TRUST",VA
0000923147,6189,"HSBC HOME EQUITY LOAN CORP I",IL
0000923261,6189,"HONDA AUTO RECEIVABLES 1994-A GRANTOR TRUST",CA
0000923569,6189,"CITIBANK OMNI-S MASTER TRUST",SD
0000924209,6189,"RURAL ELECTRIC COOPERATIVE GRANTOR TRUST SOYLAND 1993 B1",VA
0000924210,6189,"RURAL ELECTRIC COOPERATIVE GRANTOR TRUST SOYLAND 1993 B2",VA
0000924381,6189,"DAIMLER BENZ VEHICLE RECEIVABLES CORP",DE
0000924382,6189,"DAIMLER BENZ VEHICLE TRUST 1994-A",DE
0000924992,6189,"FLEET CREDIT CARD MASTER TRUST II",DE
0000925433,6189,"ML PRINCIPAL PROTECTION TRADING LP",NY
0000926216,6189,"FIRST DEPOSIT NATL BK FIRST DEP MA TR AS BK CERT SER 1994-1",NH
0000927655,6189,"AFG RECEIVABLES CORP",IL
0000927764,6189,"ONYX ACCEPTANCE FINANCIAL CORP",CA
0000928378,6189,"NATIONSBANK NA",NC
0000928596,6189,"FIRST NORTH AMERICAN NATIONAL BANK",GA
0000928597,6189,"CIRCUIT CITY CREDIT CARD MASTER TRUST",DE
0000928898,6189,"LEHMAN HOME EQUITY LOAN TRUST 1994-1",IL
0000929541,6189,"OAKWOOD MORTGAGE INVESTORS INC",NV
0000929543,6189,"WORLD OMNI DEALER FUNDING INC",FL
0000930299,6189,"COPELCO CAPITAL FUNDING CORP II",NJ
0000930459,6189,"BANC ONE CREDIT CARD MASTER TRUST",DE
